id,crop,species,stage,event,parameter,value,minimum,maximum,unit,method,base_temperature_c,upper_temperature_c,biofix,reference_cultivar,reference_region,growing_condition,source_id,authors,year,doi,url,evidence_level,confidence,transferability,evidence_status,activation_status,stage_mapping_status,notes
pepper_tbase_001,pepper,Capsicum annuum,UNKNOWN,UNKNOWN,Tbase,7,,,degC,average,,,,"bell pepper, unspecified","Northern plains, India",open field,SRC-007,ICAR,2024,,https://epubs.icar.org.in/index.php/IJAgS/article/download/152853/61651/481069,PRIMARY_EXPERIMENT,MEDIUM,MEDIUM,EXTERNAL_EVIDENCE,NOT_ACTIVATED,UNMAPPED,Study calculates GDD with 7 C base.
pepper_tbase_002,pepper,Capsicum annuum,UNKNOWN,UNKNOWN,Tbase,10,,,degC,unknown,,,,,,,SRC-005,Purdue MRCC,,,https://www.mrcc.purdue.edu/resources/growing-degree-day-description,INSTITUTIONAL,MEDIUM,MEDIUM,EXTERNAL_EVIDENCE,NOT_ACTIVATED,UNMAPPED,50 F crop threshold table; conflicts with SRC-007.
pepper_tbase_003,pepper,Capsicum annuum,UNKNOWN,UNKNOWN,Tbase,10,,,degC,unknown,,,,,,,SRC-006,"Fraisse, C.W.; et al.",2018,,https://ask.ifas.ufl.edu/publication/AE428,INSTITUTIONAL,MEDIUM,MEDIUM,EXTERNAL_EVIDENCE,NOT_ACTIVATED,UNMAPPED,50 F crop threshold table.
grape_budburst_001,grape,Vitis vinifera,budburst,budburst,GDD,228.503,,,GDD,average,5,,fixed calendar date,Treixadura,"DO Ribeiro, NW Spain",field,SRC-008,"Piña-Rey, A.; Ribeiro, H.; Fernández-González, M.; et al.",2021,10.3390/plants10030502,https://pmc.ncbi.nlm.nih.gov/articles/PMC7998222/,PRIMARY_EXPERIMENT,HIGH,MEDIUM,EXTERNAL_EVIDENCE,NOT_ACTIVATED,UNMAPPED,Optimized GDD model; t0 DOY 49.
grape_flowering_001,grape,Vitis vinifera,flowering,flowering,GDD,626.092,,,GDD,average,6,,fixed calendar date,Godello,"DO Ribeiro, NW Spain",field,SRC-008,"Piña-Rey, A.; Ribeiro, H.; Fernández-González, M.; et al.",2021,10.3390/plants10030502,https://pmc.ncbi.nlm.nih.gov/articles/PMC7998222/,PRIMARY_EXPERIMENT,HIGH,MEDIUM,EXTERNAL_EVIDENCE,NOT_ACTIVATED,UNMAPPED,Optimized GDD model; t0 DOY 52.
grape_tbase_001,grape,Vitis vinifera,budburst,budburst,Tbase,5,,,degC,average,,,fixed calendar date,Treixadura,"DO Ribeiro, NW Spain",field,SRC-008,"Piña-Rey, A.; Ribeiro, H.; Fernández-González, M.; et al.",2021,10.3390/plants10030502,https://pmc.ncbi.nlm.nih.gov/articles/PMC7998222/,PRIMARY_EXPERIMENT,HIGH,MEDIUM,EXTERNAL_EVIDENCE,NOT_ACTIVATED,UNMAPPED,Model t0=DOY49.
grape_tbase_002,grape,Vitis vinifera,flowering,flowering,Tbase,6,,,degC,average,,,fixed calendar date,Godello,"DO Ribeiro, NW Spain",field,SRC-008,"Piña-Rey, A.; Ribeiro, H.; Fernández-González, M.; et al.",2021,10.3390/plants10030502,https://pmc.ncbi.nlm.nih.gov/articles/PMC7998222/,PRIMARY_EXPERIMENT,HIGH,MEDIUM,EXTERNAL_EVIDENCE,NOT_ACTIVATED,UNMAPPED,Model t0=DOY52.
grape_tbase_003,grape,Vitis vinifera,flowering,flowering,Tbase,10,,,degC,average,,,fixed calendar date,,France,,SRC-009,"García de Cortázar-Atauri, I.; et al.",2017,,https://oeno-one.eu/article/view/1622,PEER_REVIEWED_REVIEW,MEDIUM,MEDIUM,EXTERNAL_EVIDENCE,NOT_ACTIVATED,UNMAPPED,Amerine–Winkler calculation starts 1 April.
grape_harvest_001,grape,Vitis vinifera,harvest,harvest,GDD,,1010,1310,GDD,unknown,,,budburst,Red Globe; Superior Seedless,table-grape trial,field,SRC-010,"Verdugo-Vásquez, N.; et al.",2017,,https://oeno-one.eu/article/view/1833,PRIMARY_EXPERIMENT,HIGH,MEDIUM,EXTERNAL_EVIDENCE,NOT_ACTIVATED,UNMAPPED,Range to harvest accumulated from budburst; base temperature not recoverable from available record.
peach_chill_portions_001,peach,Prunus persica,endodormancy_release,budburst,chill_portions,,49,69,chill_portions,other,,,fixed calendar date,14 peach and nectarine cultivars,"Lleida, Spain and Naoussa, Greece",field/forcing chamber,SRC-011,"Drogoudi, P.; Cantín, C.M.; Brandi, F.; et al.",2023,10.3390/plants12030584,https://pmc.ncbi.nlm.nih.gov/articles/PMC9918920/,PRIMARY_EXPERIMENT,HIGH,HIGH,EXTERNAL_EVIDENCE,NOT_ACTIVATED,UNMAPPED,Dynamic Model; Tabuenca tests.
peach_chill_hours_001,peach,Prunus persica,endodormancy_release,budburst,chill_hours,,446,866,chill_hours,other,,,fixed calendar date,14 peach and nectarine cultivars,"Lleida, Spain and Naoussa, Greece",field/forcing chamber,SRC-011,"Drogoudi, P.; Cantín, C.M.; Brandi, F.; et al.",2023,10.3390/plants12030584,https://pmc.ncbi.nlm.nih.gov/articles/PMC9918920/,PRIMARY_EXPERIMENT,HIGH,HIGH,EXTERNAL_EVIDENCE,NOT_ACTIVATED,UNMAPPED,Chilling Hours model; kept separate from CP.
peach_forcing_001,peach,Prunus persica,flowering,flowering,GDH,,3524,4672,GDH,other,4.5,36,budburst,14 peach and nectarine cultivars,"Europe incl. Murcia/Lleida, Spain",field,SRC-011,"Drogoudi, P.; Cantín, C.M.; Brandi, F.; et al.",2023,10.3390/plants12030584,https://pmc.ncbi.nlm.nih.gov/articles/PMC9918920/,PRIMARY_EXPERIMENT,HIGH,HIGH,EXTERNAL_EVIDENCE,NOT_ACTIVATED,UNMAPPED,GDH from endodormancy release; source says bloom/end of bloom context.
peach_chill_hours_002,peach,Prunus persica,endodormancy_release,budburst,chill_hours,,263,2123,chill_hours,unknown,,,,15 cultivars,not recovered,,SRC-013,"Kwon, J.H.; et al.",2020,10.1016/j.agrformet.2020.108113,https://www.sciencedirect.com/science/article/abs/pii/S0168192320301118,PRIMARY_EXPERIMENT,MEDIUM,MEDIUM,EXTERNAL_EVIDENCE,NOT_ACTIVATED,UNMAPPED,Abstract-level verification; no conversion.
plum_chill_hours_001,plum,Prunus salicina,endodormancy_release,budburst,chill_hours,,277,851,chill_hours,other,,,fixed calendar date,21 Japanese plum-type cultivars,"Badajoz and Zaragoza, Spain",field/forcing chamber,SRC-014,"Guerrero, B.I.; Fadón, E.; Guerra, M.E.; Rodrigo, J.",2024,10.3389/fpls.2024.1343593,https://pmc.ncbi.nlm.nih.gov/articles/PMC11061358/,PRIMARY_EXPERIMENT,HIGH,HIGH,EXTERNAL_EVIDENCE,NOT_ACTIVATED,UNMAPPED,Weinberger CH; empirically determined endodormancy release.
plum_chill_portions_001,plum,Prunus salicina,endodormancy_release,budburst,chill_portions,,26,51,chill_portions,other,,,fixed calendar date,21 Japanese plum-type cultivars,"Badajoz and Zaragoza, Spain",field/forcing chamber,SRC-014,"Guerrero, B.I.; Fadón, E.; Guerra, M.E.; Rodrigo, J.",2024,10.3389/fpls.2024.1343593,https://pmc.ncbi.nlm.nih.gov/articles/PMC11061358/,PRIMARY_EXPERIMENT,HIGH,HIGH,EXTERNAL_EVIDENCE,NOT_ACTIVATED,UNMAPPED,Dynamic Model.
plum_forcing_001,plum,Prunus salicina,flowering,flowering,GDH,,4343,9525,GDH,other,4.5,25,budburst,21 Japanese plum-type cultivars,"Badajoz and Zaragoza, Spain",field,SRC-014,"Guerrero, B.I.; Fadón, E.; Guerra, M.E.; Rodrigo, J.",2024,10.3389/fpls.2024.1343593,https://pmc.ncbi.nlm.nih.gov/articles/PMC11061358/,PRIMARY_EXPERIMENT,HIGH,HIGH,EXTERNAL_EVIDENCE,NOT_ACTIVATED,UNMAPPED,GDH accumulated endodormancy release to F50; upper cap is 25 C.
plum_chill_portions_002,plum,Prunus salicina,endodormancy_release,budburst,chill_portions,30,,,chill_portions,other,,,,Earliqueen,"Badajoz and Zaragoza, Spain",field/forcing chamber,SRC-014,"Guerrero, B.I.; Fadón, E.; Guerra, M.E.; Rodrigo, J.",2024,10.3389/fpls.2024.1343593,https://pmc.ncbi.nlm.nih.gov/articles/PMC11061358/,PRIMARY_EXPERIMENT,HIGH,HIGH,EXTERNAL_EVIDENCE,NOT_ACTIVATED,UNMAPPED,Lowest cultivar-specific CP reported in article.
plum_forcing_002,plum,Prunus salicina,flowering,flowering,GDH,4343,,,GDH,other,4.5,25,budburst,Ambra,"Badajoz and Zaragoza, Spain",field,SRC-014,"Guerrero, B.I.; Fadón, E.; Guerra, M.E.; Rodrigo, J.",2024,10.3389/fpls.2024.1343593,https://pmc.ncbi.nlm.nih.gov/articles/PMC11061358/,PRIMARY_EXPERIMENT,HIGH,HIGH,EXTERNAL_EVIDENCE,NOT_ACTIVATED,UNMAPPED,Lowest cultivar-specific GDH reported in article.
plum_chill_hours_002,plum,Prunus salicina,endodormancy_release,budburst,chill_hours,,359,557,chill_hours,other,,,,8 Japanese plum-type cultivars,"Badajoz and Zaragoza, Spain",field/forcing chamber,SRC-015,"Ruiz, D.; Campoy, J.A.; Egea, J.",2018,,https://www.sciencedirect.com/science/article/abs/pii/S0304423818305144,PRIMARY_EXPERIMENT,MEDIUM,HIGH,EXTERNAL_EVIDENCE,NOT_ACTIVATED,UNMAPPED,ISHS abstract; method explicitly identifies CH.
apple_chill_portions_001,apple,Malus domestica,endodormancy_release,budburst,chill_portions,,40,70,chill_portions,other,,,,Golden Delicious; Granny Smith; Gala; Fuji,,,SRC-016,"González Noguer, C.; et al.",2023,10.3389/fhort.2023.1217689,https://www.frontiersin.org/journals/horticulture/articles/10.3389/fhort.2023.1217689/full,PEER_REVIEWED_REVIEW,MEDIUM,MEDIUM,EXTERNAL_EVIDENCE,NOT_ACTIVATED,UNMAPPED,Review reports range for extensively planted cultivars; do not convert to CH.
apple_forcing_001,apple,Malus domestica,flowering,flowering,GDH,,4268,22402,GDH,other,4,36,,Cox Orange to Gala,,,SRC-016,"González Noguer, C.; et al.",2023,10.3389/fhort.2023.1217689,https://www.frontiersin.org/journals/horticulture/articles/10.3389/fhort.2023.1217689/full,PEER_REVIEWED_REVIEW,MEDIUM,MEDIUM,EXTERNAL_EVIDENCE,NOT_ACTIVATED,UNMAPPED,Review reports across cultivars; GDH model optimum 25 C.
apple_flowering_001,apple,Malus domestica,flowering,flowering,GDD,281,,,GDD,single_sine,3.1,,January 1,cultivars unspecified,Latvia,field,SRC-018,"Kalvāne, G.; et al.",2021,10.5194/asr-18-93-2021,https://asr.copernicus.org/articles/18/93/2021/,PRIMARY_EXPERIMENT,HIGH,LOW,EXTERNAL_EVIDENCE,NOT_ACTIVATED,UNMAPPED,Full flowering; DDcos sinusoidal distribution model.
apple_flowering_002,apple,Malus domestica,flowering,flowering,GDD,,203,300,GDD,single_sine,3.1,,January 1,cultivars unspecified,Latvia,field,SRC-018,"Kalvāne, G.; et al.",2021,10.5194/asr-18-93-2021,https://asr.copernicus.org/articles/18/93/2021/,PRIMARY_EXPERIMENT,MEDIUM,LOW,EXTERNAL_EVIDENCE,NOT_ACTIVATED,UNMAPPED,Reported heat-sum range across tested Tb values (2.6–5.0 C); conflicts deliberately retained.
apple_chill_portions_002,apple,Malus domestica,endodormancy_release,budburst,chill_portions,,35,88,chill_portions,other,,,,12 apple cultivars,Mediterranean Spain,field,SRC-017,"Díez-Palet, I.; Funes, I.; Savé, R.; et al.",2019,10.3390/agronomy9110760,https://www.mdpi.com/2073-4395/9/11/760,PRIMARY_EXPERIMENT,MEDIUM,HIGH,EXTERNAL_EVIDENCE,NOT_ACTIVATED,UNMAPPED,Range reported in subsequent literature citing Díez-Palet et al.; exact cultivar-level table requires full-text extraction.
apple_forcing_002,apple,Malus domestica,flowering,flowering,GDH,,6000,16000,GDH,other,4,36,,12 apple cultivars,Mediterranean Spain,field,SRC-017,"Díez-Palet, I.; Funes, I.; Savé, R.; et al.",2019,10.3390/agronomy9110760,https://www.mdpi.com/2073-4395/9/11/760,PRIMARY_EXPERIMENT,MEDIUM,HIGH,EXTERNAL_EVIDENCE,NOT_ACTIVATED,UNMAPPED,Range reported in subsequent literature citing Díez-Palet et al.; retained as provisional verification.
